"politc_id","content","person_election","person_id","name","type","organization_id","party","victor","now"
11326,"改良長照制度，提升長者休閒設施，增設優質養老院，申請看護免巴氏量表",77096,38507,"葉元之","legislator",NA,"中國國民黨","y",NA
11331,"檢討交通記點制度，推動友善人本交通，取消區間測速。",77096,38507,"葉元之","legislator",NA,"中國國民黨","y",NA
11328,"加速推動都市更新，浮洲區盡快通過都市計畫，興建汙水下水道",77096,38507,"葉元之","legislator",NA,"中國國民黨","y",NA
11327,"修法杜絕詐騙、守護人民辛苦血汗錢。",77096,38507,"葉元之","legislator",NA,"中國國民黨","y",NA
9512,"文化觀光：打造北投生活環境博物園區・爭取9.8億修復士林北投文化資產",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9516,"火山防災：爭取6億打造大屯火山防災應變系统",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9519,"優化國教：爭取358億班班有冷氣、200億生生用平板、50億通學巷改善、警養午餐補助史上最高、高中職學費全免上路、全面推勤校園反霸凌",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9525,"文化紮根：催生16-22歲青年禮金、深化文化體驗教育。",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9518,"交通建設：因應淡北道路交通衡擊，爭取18億關渡新橋分流計畫，監督雙北配套工程",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9513,"前瞻建設：爭取27億整建天母棒球場、興建克強公園全民運勤館、開闢石牌福星公國地下停車場、重建稻香市場打造社福中心、保存活化中心新村",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9522,"教育平權：修法增加特教預算及人力、立法保障偏鄉教育品質、鬆耕法規支持實驗教育、立法推廣終生學習心",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9514,"校園環境：爭取2.3億優化校園建設，校校都有",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9527,"前瞻科技：推勤數位轉型、淨零轉型，超前部署太空產業發展、AI 產業佈局，打造台灣成為智慧科技島",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9524,"壯大台流：設立公視台語台、改革公共媒體、影視音內容產製升格國家戰略產業",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9526,"文化建設：催生《國家電影及視聽文化中心》、《國家漫畫博物館》、《國家兒童未來館》《國家攝影文化中心》、《建築文化中心》",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9517,"社會照護：完善士北150處長照據點，130處公共化幼托",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9521,"文化投資：爭取史上最高文化預算，成立文化發展基金，催生「文策院」、「設計研究院」，建構文化金融制度。",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9528,"強健體育：推勤體育改革，催生國家運動科學中心，優化奧運黃金計畫，擴大培育運功人才，研議成立體育暨運動發展部",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9523,"文化保存：催生前瞻建設265億文化生活圈計畫，促進系统性保存有形及無形文資",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9520,"前瞻高教：催生10年83億大學新宿舍運動、爭取私校學費補助每年减免3.5萬、大專教授全面調薪、就學貸款條件放寬、留學補助全面提升、大學心理健康支持方案、不良私校退場、設立百億學生海外圓夢基金",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9511,"產業發展：推動北投士林科技園區開發，爭取臺灣科技新創基進駐",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
9515,"居住正義：爭取中央5處社會住宅進駐士北",77053,416,"吳思瑤","legislator",NA,"民主進步黨","y","y"
10184,"監督東豐快復建進度，爭取銜接社129線，力拚2025年完成東勢石岡段，2027年全線通車",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10196,"爭取農業設備、天災農損補助，擴大農友保障",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10188,"監督「白冷圳節餘水利用計畫」工程進度",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10205,"推動80歲以上及70歲以上癌症二期長者，申請外籍看護免巴氏量表",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10194,"開闢多元農產品銷售通道，強化農業發展韌性",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10195,"緊盯不法農產進口查緝，杜絕非法農產於境外",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10192,"加速活化東勢林業文化園區，再現林業風華",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10189,"爭取興建「旱溪堤外自行車道」，完善豐原大道自行車道路網",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10202,"捍衛居住正義，加速社宅興建",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10200,"落實氣候變遷因應法，推動2050淨零碳排配套",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10190,"持續推動危老校舍改建，優化學習環境",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10199,"推動東勢納入參山國家風景區，整合觀光資源",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10201,"優化生養環境，讓父母育兒無憂",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10197,"爭取登錄白冷圳為「重要文化景，申請成爲「臺灣世界遺產潛力點」",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10186,"實現「豐富專案」計畫，打造運動產業健康園區",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10204,"鼓勵靑年返鄕在地創業，深耕家鄉靑創力",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10203,"擴大產業量能，協助在地就業",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10183,"改善國道一號豐原路段雍塞問題：拓寬后里-大雅路段，增設豐原交流道南出入匝道",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10191,"爭取新建豐原漆藝館二館，保存發揚漆藝文化",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10193,"爭取擴建東勢客家文化園區，發揚大埔客家文化",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10185,"監督中橫復建進度，持續提升中橫便道安全強度，力促回復省道規格",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10187,"力拚「豐原國民曁兒童運動中心」，2024年完工啟用，打造多功能運動中心",77143,390,"江啟臣","legislator",NA,"中國國民黨","y","y"
10180,"支持「2050淨零排放」，「以核减煤」，「以綠永續」，確保穩定供電，務實發展再生能源。",77098,255,"林德福","legislator",NA,"中國國民黨","y","y"
10179,"推動國土復育，監督政府於2026年完成移撥5百億預算至國土永續發展基金",77098,255,"林德福","legislator",NA,"中國國民黨","y","y"
10181,"支持消防改革，完善救災設備，增補消防人力。",77098,255,"林德福","legislator",NA,"中國國民黨","y","y"
10413,"提高長照服務品質，持續擴大長照服務量能與據點，加強辦理喘息服務，打造長輩及照顧者友善生活環境。",77182,432,"陳秀寳","legislator",NA,"民主進步黨","y","y"
10419,"改善交通品質，強化道路交通安全意識，守護用路人安全。",77182,432,"陳秀寳","legislator",NA,"民主進步黨","y","y"
10422,"依照各式產業需求進行人才培育，推廣職場體驗，畢業即就業，共創產學雙贏。",77182,432,"陳秀寳","legislator",NA,"民主進步黨","y","y"
10412,"延長育嬰留職停薪申請年限並爭取托育延托方案，擴大準公共托育。",77182,432,"陳秀寳","legislator",NA,"民主進步黨","y","y"
10410,"爭取調高老農津貼與放寬排富標準，全面檢視農水路品質，守護農業從業環境。",77182,432,"陳秀寳","legislator",NA,"民主進步黨","y","y"
10411,"擴大青年優惠貸款並持續辦理租金補貼及社宅政策，打造青年宜居環境。",77182,432,"陳秀寳","legislator",NA,"民主進步黨","y","y"
10414,"持續爭取文化資產修復及維護重要古蹟，協助地方文化傳承。",77182,432,"陳秀寳","legislator",NA,"民主進步黨","y","y"
10415,"活絡文化創新產業並結合地方特色，打造獨特文化生活體驗。",77182,432,"陳秀寳","legislator",NA,"民主進步黨","y","y"
10416,"維護國家語言發展，發揚臺灣多元文化特色。",77182,432,"陳秀寳","legislator",NA,"民主進步黨","y","y"
10418,"擴大路網維護能量，順暢六鄉鎮交通，帶動地方觀光經濟發展。",77182,432,"陳秀寳","legislator",NA,"民主進步黨","y","y"
10420,"持續爭取學校建設升級，更新學校設施設備，提供孩子安全的學習環境。",77182,432,"陳秀寳","legislator",NA,"民主進步黨","y","y"
10409,"優化就業環境，吸引青年返鄉扎根，緩解產業缺工問題。",77182,432,"陳秀寳","legislator",NA,"民主進步黨","y","y"
10421,"推動程式及母語教育，符合產業需求及文化傳承，兼顧經濟與文化發展。",77182,432,"陳秀寳","legislator",NA,"民主進步黨","y","y"
10408,"促進產業升級轉型，媒合跨產業合作，兼顧2050淨零排放目標，輔導產業永續發展。",77182,432,"陳秀寳","legislator",NA,"民主進步黨","y","y"
10417,"爭取美港公路高架化3年內動工，縫合路網，提高民眾用路品質。",77182,432,"陳秀寳","legislator",NA,"民主進步黨","y","y"
11263,"推動高風險癌症預防及放寬篩檢。",77251,402,"馬文君","legislator",NA,"中國國民黨","y","y"
11262,"80歲以上長者免除巴氏量表。",77251,402,"馬文君","legislator",NA,"中國國民黨","y","y"
11272,"7-18歲政府扛。",77251,402,"馬文君","legislator",NA,"中國國民黨","y","y"
11269,"定期調漲「農業天災救助額度」。",77251,402,"馬文君","legislator",NA,"中國國民黨","y","y"
11273,"補助凍卵保障生育。",77251,402,"馬文君","legislator",NA,"中國國民黨","y","y"
11280,"開放陸客觀光。",77251,402,"馬文君","legislator",NA,"中國國民黨","y","y"
11264,"疫苗及醫藥採購透明化。",77251,402,"馬文君","legislator",NA,"中國國民黨","y","y"
